# Synthetic Dataset: iris_like
# Samples: 150, Features: 4, Classes: 3
# Format: feature1,feature2,...,featureN,class

# feature1,feature2,feature3,feature4,class
-0.125123,-0.091641,0.442094,0.476062,0
1.964960,2.498928,2.533105,3.067470,1
3.985133,4.519497,4.554025,5.088693,2
-0.286685,0.247982,0.282765,0.817639,0
2.309150,2.344024,2.878964,2.913946,1
4.295310,4.330291,4.865290,4.900280,2
0.061052,0.096043,0.631000,0.665898,0
2.151943,2.686842,2.721658,3.256366,1
4.098197,4.632905,4.667481,5.201902,2
-0.088893,0.445527,0.479768,1.013807,0
2.486553,2.520592,3.054405,3.087973,1
4.388765,4.422332,4.955630,4.988640,2
0.256406,0.289415,0.822115,0.854487,0
2.306643,2.839015,2.871039,3.402700,1
4.162698,4.694358,4.725637,5.256520,2
0.090340,0.621223,0.651694,1.181740,0
2.606845,2.636892,3.166500,3.195659,1
4.416812,4.445971,4.974670,5.002901,2
0.407267,0.435498,0.963251,0.990521,0
2.383198,2.910468,2.937248,3.463534,1
4.149386,4.675672,4.701461,5.226751,2
0.202936,0.728226,0.753016,1.277307,0
2.633477,2.657768,3.181561,3.204859,1
4.360373,4.383672,4.906480,4.928803,2
0.474792,0.497115,1.018960,1.040335,0
2.357388,2.878763,2.899677,3.420140,1
4.051478,4.571940,4.591963,5.111559,2
0.222133,0.741729,0.760911,1.279693,0
2.556607,2.575389,3.093788,3.111821,1
4.226078,4.244110,4.761792,4.779143,2
0.446123,0.463474,0.980513,0.997259,0
2.234654,2.751400,2.767874,3.284099,1
3.889010,4.405234,4.421230,4.937019,2
0.149645,0.665435,0.681041,1.196488,0
2.396631,2.412078,2.927389,2.942590,1
4.046218,4.061418,4.576531,4.591582,2
0.337018,0.352069,0.867083,0.882084,0
2.048818,2.563819,2.578833,3.093884,1
3.704305,4.219356,4.234469,4.749671,2
0.013605,0.528806,0.544119,1.059567,0
2.198185,2.213634,2.729242,2.745033,1
3.870013,3.885804,4.401801,4.418027,2
0.185344,0.201570,0.718047,0.734796,0
1.851846,2.368594,2.385636,2.902990,1
3.549691,4.067045,4.084730,4.602766,2
-0.141755,0.376280,0.394682,0.913469,0
2.016504,2.035290,2.554476,2.574075,1
3.748777,3.768376,4.288403,4.308870,2
0.037894,0.058361,0.579278,0.600657,0
1.697940,2.219319,2.241168,2.763495,1
3.471348,3.993676,4.016488,4.539791,2
-0.270984,0.252319,0.276116,0.800411,0
1.900574,1.924869,2.449663,2.474958,1
3.719779,3.745073,4.270866,4.297157,2
-0.064884,-0.038593,0.488191,0.515465,0
1.627147,2.154421,2.182179,2.710414,1
3.494532,4.022767,4.051470,4.580633,2
-0.341753,0.187410,0.217023,0.747072,0
1.878542,1.908592,2.439066,2.469953,1
3.794102,3.824988,4.356271,4.387935,2
-0.101093,-0.069429,0.462599,0.494974,0
1.653754,2.186129,2.218832,2.751844,1
3.615121,4.148132,4.181433,4.715003,2
-0.343922,0.189647,0.223463,0.757504,0
1.950025,1.984066,2.518309,2.552731,1
3.952608,3.987031,4.521608,4.556317,2
-0.072602,-0.037893,0.496923,0.531822,0
1.763108,2.298007,2.332964,2.867955,1
3.800363,4.335353,4.370352,4.905334,2
-0.290551,0.244431,0.279371,0.814244,0
2.087652,2.122525,2.657308,2.691974,1
4.151439,4.186105,4.720632,4.754994,2
-0.001871,0.032491,0.566667,0.600633,0
1.917670,2.451636,2.485369,3.018848,1
3.998691,4.532170,4.565373,5.098281,2
-0.210931,0.321977,0.354569,0.886826,0
2.247041,2.279298,2.811202,2.842736,1
4.335330,4.366865,4.898013,4.928758,2
0.078070,0.108816,0.639146,0.669046,0
2.070013,2.599913,2.629371,3.158377,1
4.155447,4.684453,4.712996,5.241067,2
-0.138503,0.389568,0.417159,0.944265,0
2.381659,2.408765,2.935379,2.961498,1
4.454458,4.480577,5.006198,5.031320,2
0.136609,0.161730,0.686352,0.710475,0
2.178246,2.702369,2.725995,3.249128,1
4.229440,4.752573,4.775217,5.297379,2
-0.098201,0.423961,0.445646,0.966865,0
2.457491,2.478710,2.999470,3.019784,1
4.479330,4.499644,5.019522,5.038977,2
0.156705,0.176160,0.695206,0.713858,0
2.218683,2.737335,2.755609,3.273521,1
4.204969,4.722882,4.740451,5.257695,2
