# Synthetic Dataset: large_multi
# Samples: 300, Features: 8, Classes: 5
# Format: feature1,feature2,...,featureN,class

# feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,class
-0.026444,-0.161394,0.504081,0.369967,1.036250,1.702914,1.569942,2.237317,0
2.628252,3.294138,3.160421,3.827084,3.694112,4.361487,4.229190,4.897202,1
5.482958,6.149621,6.016649,6.684024,6.551726,7.219738,7.888040,7.756609,2
9.289165,9.156541,9.824244,9.692255,10.360557,10.229126,10.897942,10.766982,3
12.242412,12.110423,12.778726,12.647293,13.316109,13.985150,13.854393,14.523816,4
-0.423572,0.244997,0.113813,0.782854,0.652096,1.321518,1.991096,1.860805,0
3.093875,2.962916,3.632159,3.501581,4.171158,4.040867,4.710684,4.580583,1
6.019958,5.889381,6.558958,6.428667,7.098483,7.768383,7.638340,8.308331,2
9.038252,9.707961,9.577778,10.247676,10.117634,10.787624,10.657623,11.327605,3
11.937189,12.607089,12.477046,13.147036,13.017035,13.687016,14.356957,14.226830,4
0.018166,-0.111843,0.558156,0.428137,1.098077,1.767951,1.637733,2.307400,0
2.805742,3.475724,3.345664,4.015538,3.885319,4.554986,4.424513,5.093876,1
5.785171,6.455044,6.324827,6.994493,6.864019,7.533382,8.202558,8.071524,2
9.586246,9.455914,10.125440,9.994802,10.663978,10.532944,11.201677,11.070156,3
12.415982,12.285345,12.954521,12.823485,13.492219,14.160699,14.028902,14.696810,4
-0.317911,0.351055,0.219788,0.888267,0.756470,1.424378,2.091970,1.959227,0
3.338345,3.206824,3.875027,3.742935,4.410526,4.277783,4.944688,4.811222,1
6.346414,6.214323,6.881914,6.749171,7.416075,8.082609,7.948757,8.614503,2
9.302978,9.970235,9.837139,10.503673,10.369821,11.035566,10.900896,11.565797,3
12.057048,12.723583,12.589730,13.255475,13.120805,13.785706,14.450165,14.314170,4
0.148420,0.014166,0.679496,0.544396,1.208855,1.872860,1.736403,2.399474,0
3.063863,3.728763,3.593221,4.257227,4.120769,4.783840,4.646432,5.308538,1
6.072798,6.736803,6.600346,7.263417,7.126008,7.788114,8.449728,8.310847,2
9.763463,9.626534,10.289125,10.151231,10.812845,10.673965,11.334586,11.194708,3
12.445204,12.307309,12.968925,12.830042,13.490664,14.150785,14.010406,14.669531,4
-0.200364,0.460755,0.321377,0.981498,0.841120,1.500243,2.158869,2.017002,0
3.558413,3.418535,4.078156,3.937279,4.595905,4.454038,5.111683,4.968844,1
6.541237,6.400361,7.058986,6.917119,7.574763,8.231925,8.088612,8.744829,2
9.353595,10.011727,9.869372,10.526533,10.383219,11.039437,10.895199,11.550512,3
11.976158,12.633321,12.490006,13.146224,13.001986,13.657298,14.312177,14.166632,4
0.224909,0.081127,0.736888,0.592201,1.247079,1.901534,1.755580,2.409232,0
3.207067,3.862381,3.717258,4.371714,4.225760,4.879412,4.732686,5.385598,1
6.141160,6.795615,6.649661,7.303313,7.156586,7.809499,8.462068,8.314312,2
9.673503,9.527155,10.180429,10.033341,10.685910,10.538155,11.190092,11.041744,3
12.258443,12.111356,12.763925,12.616168,13.268106,13.919759,13.771146,14.422292,4
-0.177450,0.474794,0.326732,0.978385,0.829772,1.480917,2.131841,1.982566,0
3.606510,3.458162,4.109550,3.960695,4.611619,4.462344,5.112894,4.963293,1
6.476337,6.327483,6.978406,6.829132,7.479681,8.130080,7.980352,8.630520,2
9.137807,9.788532,9.639083,10.289481,10.139752,10.789920,10.640010,11.290046,3
11.712330,12.362730,12.213000,12.863168,12.713258,13.363293,14.013300,13.863302,4
0.199881,0.050049,0.700139,0.550174,1.200181,1.850183,1.700207,2.350276,0
3.164806,3.814841,3.664847,4.314850,4.164873,4.814943,4.665083,5.315319,1
5.963513,6.613516,6.463539,7.113609,6.963748,7.613985,8.264339,8.114840,2
9.372637,9.222707,9.872847,9.723082,10.373437,10.223937,10.874604,10.725462,3
11.965913,11.816149,12.466505,12.317002,12.967669,13.618528,13.469600,14.120909,4
-0.229380,0.421120,0.271787,0.922645,0.773716,1.425025,2.076591,1.928435,0
3.498466,3.349324,4.000396,3.851704,4.503270,4.355115,5.007259,4.859723,1
6.228191,6.079500,6.731065,6.582910,7.235054,7.887517,7.740319,8.393476,2
8.810098,9.461943,9.314087,9.966549,9.819351,10.472507,10.326038,10.979957,3
11.449153,12.101617,11.954417,12.607574,12.461103,13.115023,13.769346,13.624087,4
0.150534,0.003691,0.657221,0.511140,1.165463,1.820204,1.675378,2.330995,0
3.027642,3.681561,3.535884,4.190626,4.045799,4.701416,4.557488,5.214024,1
5.698654,6.353396,6.208569,6.864186,6.720257,7.376794,8.033803,7.891294,2
9.081419,8.937037,9.593107,9.449643,10.106652,9.964143,10.622120,10.480588,3
11.787263,11.643799,12.300809,12.158298,12.816274,13.474743,13.333707,13.993171,4
-0.247465,0.410024,0.268001,0.926470,0.785434,1.444897,2.104859,1.965321,0
3.370715,3.229184,3.888148,3.747611,4.407573,4.268035,4.928997,4.790454,1
5.999622,5.859086,6.519048,6.379510,7.040471,7.701928,7.563878,8.226315,2
8.610349,9.270811,9.131772,9.793228,9.655178,10.317616,10.180535,10.843928,3
11.394939,12.056396,11.918346,12.580783,12.443702,13.107095,13.770955,13.635270,4
0.182549,0.044986,0.707905,0.571299,1.235158,1.899473,1.764234,2.429428,0
2.939673,3.603066,3.466926,4.131241,3.996001,4.661196,4.526811,5.192832,1
5.547054,6.211369,6.076130,6.741324,6.606939,7.272960,7.939373,7.806161,2
9.008277,8.873471,9.539086,9.405107,10.071520,9.938309,10.605454,10.472941,3
11.872823,11.738843,12.405257,12.272044,12.939190,13.606678,13.474486,14.142599,4
-0.162711,0.504077,0.371224,1.038711,0.906520,1.574632,2.243025,2.111680,0
3.337409,3.204896,3.872705,3.740817,4.409210,4.277864,4.946759,4.815870,1
5.945238,5.813350,6.481742,6.350397,7.019291,7.688403,7.557708,8.227185,2
8.672179,9.340834,9.209728,9.878839,9.748145,10.417622,10.287247,10.956994,3
11.607032,12.276144,12.145450,12.814925,12.684550,13.354298,14.024145,13.894067,4
0.304566,0.174043,0.843668,0.713416,1.383263,2.053184,1.923155,2.593152,0
2.957585,3.627333,3.497180,4.167101,4.037073,4.707068,4.577064,5.247036,1
5.586789,6.256710,6.126681,6.796677,6.666672,7.336643,8.006563,7.876410,2
9.185781,9.055778,9.725773,9.595743,10.265664,10.135509,10.805255,10.674877,3
12.171937,12.041906,12.711828,12.581672,13.251418,13.921041,13.790514,14.459818,4
-0.033875,0.635971,0.505717,1.175339,1.044813,1.714115,2.383223,2.252113,0
3.387020,3.256642,3.926116,3.795419,4.464526,4.333416,5.002066,4.870455,1
6.055400,5.924704,6.593811,6.462700,7.131351,7.799739,7.667846,8.335649,2
8.923625,9.592514,9.461165,10.129553,9.997660,10.665462,10.532945,11.200085,3
11.935554,12.603943,12.472049,13.139852,13.007334,13.674474,14.341256,14.207662,4
0.402333,0.270136,0.937618,0.804758,1.471540,2.137945,2.003960,2.669567,0
3.009914,3.677055,3.543836,4.210242,4.076256,4.741864,4.607050,5.271804,1
5.730587,6.396993,6.263008,6.928615,6.793801,7.458554,8.122862,7.986713,2
9.457009,9.322618,9.987803,9.852556,10.516864,10.380715,11.044100,10.907010,3
12.466364,12.331117,12.995424,12.859274,13.522659,14.185570,14.047998,14.709940,4
-0.002464,0.661387,0.524772,1.187683,1.050112,1.712052,2.373501,2.234453,0
3.412763,3.275673,3.938102,3.800043,4.461491,4.322443,4.982897,4.842850,1
6.193141,6.055082,6.716530,6.577482,7.237935,7.897889,7.757343,8.416299,2
9.160412,9.821364,9.681818,10.341770,10.201225,10.860180,10.718640,11.376609,3
12.139986,12.799941,12.659394,13.318349,13.176809,13.834777,14.492259,14.349259,4
0.344720,0.203675,0.862135,0.720103,1.377585,2.034585,1.891113,2.547177,0
2.988616,3.646585,3.504066,4.161067,4.017594,4.673657,4.529267,5.184433,1
5.829935,6.486935,6.343463,6.999527,6.855135,7.510301,8.165035,8.019351,2
9.616869,9.472933,10.128542,9.983706,10.638440,10.492757,11.146668,11.000192,3
12.544230,12.399396,13.054131,12.908445,13.562357,14.215881,14.069031,14.721827,4
-0.151786,0.502530,0.356442,1.009965,0.863115,1.515910,2.168368,2.020506,0
3.339544,3.193067,3.846217,3.699012,4.351469,4.203608,4.855448,4.707009,1
6.236868,6.089664,6.742121,6.594260,7.246099,7.897661,7.748965,8.400032,2
9.221114,9.873253,9.725093,10.376653,10.227957,10.879025,10.729880,11.380544,3
12.081364,12.732925,12.584229,13.235296,13.086150,13.736814,14.387312,14.237664,4
0.123680,-0.025252,0.625602,0.476266,1.126763,1.777116,1.627350,2.277488,0
2.876588,3.527252,3.377749,4.028102,3.878335,4.528474,4.378543,5.028566,1
5.819282,6.469635,6.319869,6.970007,6.820076,7.470098,8.120101,7.970108,2
9.579835,9.429974,10.080042,9.930065,10.580067,10.430075,11.080111,10.930201,3
12.367163,12.217186,12.867188,12.717195,13.367229,14.017322,13.867491,14.517764,4
-0.404761,0.245246,0.095282,0.745373,0.595542,1.245815,1.896217,1.746770,0
3.217186,3.067277,3.717446,3.567720,4.218121,4.068674,4.719403,4.570330,1
6.189788,6.040062,6.690463,6.541016,7.191744,7.842672,7.693821,8.345213,2
9.109096,9.759649,9.610378,10.261305,10.112453,10.763846,10.615504,11.267447,3
11.826999,12.477926,12.329075,12.980466,12.832124,13.484067,14.136317,13.988892,4
-0.109658,-0.258266,0.393392,0.245335,0.897584,1.550159,1.403078,2.056358,0
2.780647,3.432591,3.284840,3.937415,3.790333,4.443614,4.297273,4.951326,1
5.764184,6.416759,6.269678,6.922958,6.776617,7.430670,8.085133,7.940018,2
9.429682,9.282964,9.936622,9.790675,10.445137,10.300023,10.955344,10.811112,3
12.089944,11.943996,12.598459,12.453343,13.108665,13.764434,13.620661,14.277355,4
-0.566471,0.088415,-0.056264,0.599505,0.455731,1.112426,1.769596,1.627249,0
3.182853,3.038622,3.694849,3.551543,4.208713,4.066366,4.724508,4.583143,1
6.156538,6.013233,6.670403,6.528056,7.186197,7.844832,7.703964,8.363595,2
8.961594,9.619246,9.477388,10.136023,9.995155,10.654785,10.514916,11.175547,3
11.582285,12.240921,12.100052,12.759682,12.619813,13.280443,13.941571,13.803195,4
-0.159435,-0.299804,0.360326,0.220956,0.882084,1.543707,1.405822,2.068422,0
2.831526,3.492157,3.353284,4.014907,3.877022,4.539622,4.402701,5.066253,1
5.774804,6.436427,6.298541,6.961141,6.824220,7.487772,8.151785,8.016253,2
9.319076,9.181676,9.844755,9.708306,10.372319,10.236787,10.901694,10.767032,3
11.921975,11.785526,12.449540,12.314006,12.978913,13.644251,13.510004,14.176160,4
-0.485652,0.178815,0.043723,0.709060,0.574813,1.240968,1.907508,1.774419,0
3.323337,3.188674,3.854427,3.720582,4.387123,4.254033,4.921297,4.788894,1
6.218131,6.084286,6.750827,6.617737,7.285000,7.952598,7.820511,8.488720,2
8.907431,9.574342,9.441606,10.109201,9.977116,10.645324,10.513808,11.182546,3
11.515250,12.182848,12.050761,12.718968,12.587453,13.256190,13.925160,13.794339,4
0.043648,-0.088144,0.580340,0.449077,1.118047,1.787226,1.656592,2.326122,0
3.043678,3.712416,3.581386,4.250565,4.119931,4.789460,4.659129,5.328913,1
5.876640,6.545819,6.415186,7.084714,6.954383,7.624167,8.294042,8.163983,2
9.322336,9.191866,9.861534,9.731318,10.401193,10.271134,10.941116,10.811115,3
11.956142,11.825926,12.495802,12.365741,13.035724,13.705723,13.575712,14.245669,4
-0.194982,0.474958,0.344941,1.014940,0.884930,1.554886,2.224784,2.094599,0
3.569288,3.439287,4.109277,3.979234,4.649132,4.518946,5.188653,5.058228,1
6.333747,6.203704,6.873602,6.743417,7.413124,8.082699,7.952118,8.621358,2
8.951774,9.621588,9.491296,10.160870,10.030289,10.699529,10.568565,11.237377,3
11.628860,12.298435,12.167853,12.837092,12.706130,13.374941,14.043507,13.911802,4
0.367547,0.236786,0.905823,0.774635,1.443200,2.111495,1.979502,2.647200,0
3.273192,3.942004,3.810568,4.478864,4.346871,5.014568,4.881937,5.548959,1
5.970503,6.638799,6.506805,7.174502,7.041871,7.708893,8.375549,8.241826,2
9.379985,9.247683,9.915051,9.782072,10.448730,10.315005,10.980885,10.846352,3
12.112358,11.979380,12.646037,12.512312,13.178191,13.843659,13.708701,14.373306,4
0.099382,0.765658,0.631537,1.297005,1.162047,1.826651,2.490806,2.354501,0
3.730848,3.596315,4.261358,4.125962,4.790117,4.653812,5.317039,5.179788,1
6.370829,6.235434,6.899589,6.763284,7.426510,8.089259,7.951525,8.613300,2
8.992370,9.656064,9.519291,10.182039,10.044305,10.706080,10.567363,11.228148,3
11.785882,12.448632,12.310897,12.972672,12.833954,13.494739,14.155025,14.014810,4
0.574565,0.436341,1.097623,0.958407,1.618692,2.278478,2.137764,2.796552,0
3.326049,3.986834,3.847119,4.506904,4.366190,5.024979,4.883273,5.541077,1
5.926321,6.586106,6.445392,7.104180,6.962474,7.620278,8.277596,8.134438,2
9.379990,9.238778,9.897072,9.754875,10.412194,10.269035,10.925406,10.781315,3
12.234090,12.091893,12.749212,12.606052,13.262423,13.918333,13.773791,14.428811,4
0.178621,0.835462,0.691832,1.347742,1.203200,1.858219,2.512811,2.366990,0
3.655143,3.511053,4.166511,4.021531,4.676122,4.530301,5.184080,5.037476,1
6.239305,6.094324,6.748915,6.603094,7.256873,7.910269,7.763299,8.415977,2
8.942476,9.596655,9.450435,10.103829,9.956859,10.609538,10.461887,11.113922,3
11.850478,12.503875,12.356903,13.009582,12.861930,13.513966,14.165710,14.017182,4
0.511626,0.364305,1.016653,0.868689,1.520433,2.171905,2.023127,2.674120,0
3.128512,3.780548,3.632292,4.283764,4.134985,4.785979,4.636767,5.287373,1
5.723318,6.374790,6.226012,6.877006,6.727793,7.378398,8.028844,7.879154,2
9.288531,9.139525,9.790313,9.640918,10.291363,10.141674,10.791873,10.641985,3
12.238343,12.088948,12.739394,12.589704,13.239902,13.890016,13.740066,14.390079,4
-0.011942,0.638369,0.488568,1.138680,0.988730,1.638743,2.288745,2.138758,0
3.368878,3.218990,3.869040,3.719054,4.369054,4.219069,4.869121,4.719235,1
6.000727,5.850741,6.500741,6.350756,7.000807,7.650922,7.501123,8.151437,2
8.833856,9.483869,9.333921,9.984035,9.834236,10.484550,10.335000,10.985610,3
11.809076,12.459191,12.309393,12.959705,12.810156,13.460765,14.111559,13.962558,4
0.233489,0.083802,0.734252,0.584862,1.235654,1.886654,1.737882,2.389361,0
2.806741,3.457351,3.308144,3.959143,3.810371,4.461851,4.313602,4.965646,1
5.497991,6.148990,6.000218,6.651698,6.503448,7.155493,7.807849,7.660538,2
9.197000,9.048480,9.700231,9.552275,10.204631,10.057320,10.710359,10.563764,3
12.178365,12.030409,12.682766,12.535453,13.188492,13.841898,13.695687,14.349877,4
-0.321114,0.331574,0.184613,0.838019,0.691808,1.345997,2.000601,1.855631,0
3.073958,2.927364,3.581153,3.435343,4.089945,3.944976,4.600447,4.456369,1
5.839606,5.693796,6.348399,6.203429,6.858900,7.514822,7.371205,8.028058,2
8.794204,9.449234,9.304706,9.960626,9.817010,10.473863,10.331195,10.989012,3
11.761307,12.417229,12.273612,12.930464,12.787796,13.445613,14.103921,13.962722,4
-0.046133,-0.189280,0.468052,0.325869,0.984176,1.642977,1.502277,2.162076,0
2.596886,3.254703,3.113010,3.771811,3.631110,4.290910,4.151208,4.812006,1
5.442197,6.100998,5.960298,6.620096,6.480395,7.141193,7.802487,7.664277,2
9.234536,9.094336,9.754634,9.615431,10.276726,10.138515,10.800794,10.663555,3
12.167805,12.028603,12.689898,12.551685,13.213964,13.876726,13.739965,14.403673,4
